filepath,filename,genus,species,species_only,sex,strain,image_id,strain_applicable,species_id,sex_id,strain_id,split
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0015.jpg,aedes_aegypti_m_NEWORLEANS_image0015.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0015,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0082.jpg,anopheles_arabiensis_f_DONGOLA_image0082.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0082,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0017.jpg,aedes_aegypti_f_NEWORLEANS_image0017.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0017,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0067.jpg,anopheles_arabiensis_m_DONGOLA_image0067.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0067,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0019.jpg,anopheles_coluzzi_f_MOPTI_image0019.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0019,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_f_F1_image0029.jpg,anopheles_freeborni_f_F1_image0029.jpg,anopheles,anopheles_freeborni,freeborni,female,F1,image0029,False,6,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0076.jpg,aedes_aegypti_f_NEWORLEANS_image0076.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0076,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0031.jpg,anopheles_coluzzi_f_MOPTI_image0031.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0031,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0035.jpg,anopheles_arabiensis_f_DONGOLA_image0035.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0035,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_m_MOPTI_image0011.jpg,anopheles_coluzzi_m_MOPTI_image0011.jpg,anopheles,anopheles_coluzzi,coluzzi,male,MOPTI,image0011,False,4,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0030.jpg,anopheles_arabiensis_m_DONGOLA_image0030.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0030,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_m_FAR1_image0039.jpg,anopheles_farauti_m_FAR1_image0039.jpg,anopheles,anopheles_farauti,farauti,male,FAR1,image0039,False,5,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0032.jpg,aedes_aegypti_f_NEWORLEANS_image0032.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0032,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0009.jpg,aedes_aegypti_m_NEWORLEANS_image0009.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0009,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_f_F1_image0006.jpg,anopheles_freeborni_f_F1_image0006.jpg,anopheles,anopheles_freeborni,freeborni,female,F1,image0006,False,6,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0036.jpg,aedes_aegypti_f_NEWORLEANS_image0036.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0036,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_m_MOPTI_image0012.jpg,anopheles_coluzzi_m_MOPTI_image0012.jpg,anopheles,anopheles_coluzzi,coluzzi,male,MOPTI,image0012,False,4,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_m_STECLA_image0006.jpg,anopheles_albimanus_m_STECLA_image0006.jpg,anopheles,anopheles_albimanus,albimanus,male,STECLA,image0006,False,1,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0145.jpg,aedes_aegypti_f_NEWORLEANS_image0145.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0145,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0056.jpg,anopheles_arabiensis_m_DONGOLA_image0056.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0056,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0069.jpg,anopheles_arabiensis_f_DONGOLA_image0069.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0069,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0018.jpg,anopheles_coluzzi_f_MOPTI_image0018.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0018,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_m_STECLA_image0016.jpg,anopheles_albimanus_m_STECLA_image0016.jpg,anopheles,anopheles_albimanus,albimanus,male,STECLA,image0016,False,1,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0140.jpg,aedes_aegypti_f_NEWORLEANS_image0140.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0140,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0029.jpg,anopheles_arabiensis_m_DONGOLA_image0029.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0029,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_f_F1_image0020.jpg,anopheles_freeborni_f_F1_image0020.jpg,anopheles,anopheles_freeborni,freeborni,female,F1,image0020,False,6,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0046.jpg,anopheles_arabiensis_m_DONGOLA_image0046.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0046,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_atroparvus_f_EBRO_image0020.jpg,anopheles_atroparvus_f_EBRO_image0020.jpg,anopheles,anopheles_atroparvus,atroparvus,female,EBRO,image0020,False,3,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0060.jpg,aedes_aegypti_m_NEWORLEANS_image0060.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0060,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_m_STECLA_image0011.jpg,anopheles_albimanus_m_STECLA_image0011.jpg,anopheles,anopheles_albimanus,albimanus,male,STECLA,image0011,False,1,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_m_F1_image0005.jpg,anopheles_freeborni_m_F1_image0005.jpg,anopheles,anopheles_freeborni,freeborni,male,F1,image0005,False,6,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_f_F1_image0042.jpg,anopheles_freeborni_f_F1_image0042.jpg,anopheles,anopheles_freeborni,freeborni,female,F1,image0042,False,6,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_m_MOPTI_image0015.jpg,anopheles_coluzzi_m_MOPTI_image0015.jpg,anopheles,anopheles_coluzzi,coluzzi,male,MOPTI,image0015,False,4,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0008.jpg,aedes_aegypti_m_NEWORLEANS_image0008.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0008,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0052.jpg,anopheles_arabiensis_m_DONGOLA_image0052.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0052,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0034.jpg,aedes_aegypti_f_NEWORLEANS_image0034.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0034,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0068.jpg,aedes_aegypti_f_NEWORLEANS_image0068.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0068,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0110.jpg,anopheles_arabiensis_f_DONGOLA_image0110.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0110,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0044.jpg,aedes_aegypti_m_NEWORLEANS_image0044.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0044,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_m_FAR1_image0003.jpg,anopheles_farauti_m_FAR1_image0003.jpg,anopheles,anopheles_farauti,farauti,male,FAR1,image0003,False,5,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_atroparvus_f_EBRO_image0018.jpg,anopheles_atroparvus_f_EBRO_image0018.jpg,anopheles,anopheles_atroparvus,atroparvus,female,EBRO,image0018,False,3,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0036.jpg,anopheles_coluzzi_f_MOPTI_image0036.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0036,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0108.jpg,aedes_aegypti_f_NEWORLEANS_image0108.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0108,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0071.jpg,aedes_aegypti_f_NEWORLEANS_image0071.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0071,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_atroparvus_f_EBRO_image0014.jpg,anopheles_atroparvus_f_EBRO_image0014.jpg,anopheles,anopheles_atroparvus,atroparvus,female,EBRO,image0014,False,3,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0047.jpg,anopheles_arabiensis_m_DONGOLA_image0047.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0047,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_m_STECLA_image0001.jpg,anopheles_albimanus_m_STECLA_image0001.jpg,anopheles,anopheles_albimanus,albimanus,male,STECLA,image0001,False,1,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0019.jpg,aedes_aegypti_m_NEWORLEANS_image0019.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0019,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0013.jpg,aedes_aegypti_f_NEWORLEANS_image0013.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0013,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0053.jpg,aedes_aegypti_f_NEWORLEANS_image0053.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0053,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0024.jpg,aedes_aegypti_m_NEWORLEANS_image0024.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0024,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_m_MOPTI_image0022.jpg,anopheles_coluzzi_m_MOPTI_image0022.jpg,anopheles,anopheles_coluzzi,coluzzi,male,MOPTI,image0022,False,4,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_f_F1_image0023.jpg,anopheles_freeborni_f_F1_image0023.jpg,anopheles,anopheles_freeborni,freeborni,female,F1,image0023,False,6,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_m_STECLA_image0010.jpg,anopheles_albimanus_m_STECLA_image0010.jpg,anopheles,anopheles_albimanus,albimanus,male,STECLA,image0010,False,1,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0027.jpg,anopheles_coluzzi_f_MOPTI_image0027.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0027,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0119.jpg,aedes_aegypti_f_NEWORLEANS_image0119.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0119,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0003.jpg,anopheles_arabiensis_f_DONGOLA_image0003.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0003,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_m_MOPTI_image0009.jpg,anopheles_coluzzi_m_MOPTI_image0009.jpg,anopheles,anopheles_coluzzi,coluzzi,male,MOPTI,image0009,False,4,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0019.jpg,anopheles_arabiensis_m_DONGOLA_image0019.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0019,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_m_FAR1_image0037.jpg,anopheles_farauti_m_FAR1_image0037.jpg,anopheles,anopheles_farauti,farauti,male,FAR1,image0037,False,5,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_m_F1_image0043.jpg,anopheles_freeborni_m_F1_image0043.jpg,anopheles,anopheles_freeborni,freeborni,male,F1,image0043,False,6,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_f_STECLA_image0011.jpg,anopheles_albimanus_f_STECLA_image0011.jpg,anopheles,anopheles_albimanus,albimanus,female,STECLA,image0011,False,1,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_f_STECLA_image0034.jpg,anopheles_albimanus_f_STECLA_image0034.jpg,anopheles,anopheles_albimanus,albimanus,female,STECLA,image0034,False,1,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0008.jpg,anopheles_coluzzi_f_MOPTI_image0008.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0008,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_atroparvus_f_EBRO_image0028.jpg,anopheles_atroparvus_f_EBRO_image0028.jpg,anopheles,anopheles_atroparvus,atroparvus,female,EBRO,image0028,False,3,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_atroparvus_f_EBRO_image0029.jpg,anopheles_atroparvus_f_EBRO_image0029.jpg,anopheles,anopheles_atroparvus,atroparvus,female,EBRO,image0029,False,3,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_f_STECLA_image0033.jpg,anopheles_albimanus_f_STECLA_image0033.jpg,anopheles,anopheles_albimanus,albimanus,female,STECLA,image0033,False,1,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0016.jpg,anopheles_arabiensis_m_DONGOLA_image0016.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0016,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0071.jpg,anopheles_arabiensis_f_DONGOLA_image0071.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0071,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_m_FAR1_image0023.jpg,anopheles_farauti_m_FAR1_image0023.jpg,anopheles,anopheles_farauti,farauti,male,FAR1,image0023,False,5,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_f_FAR1_image0004.jpg,anopheles_farauti_f_FAR1_image0004.jpg,anopheles,anopheles_farauti,farauti,female,FAR1,image0004,False,5,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0038.jpg,anopheles_coluzzi_f_MOPTI_image0038.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0038,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0032.jpg,anopheles_coluzzi_f_MOPTI_image0032.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0032,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0012.jpg,anopheles_coluzzi_f_MOPTI_image0012.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0012,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_m_STECLA_image0009.jpg,anopheles_albimanus_m_STECLA_image0009.jpg,anopheles,anopheles_albimanus,albimanus,male,STECLA,image0009,False,1,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0025.jpg,aedes_aegypti_m_NEWORLEANS_image0025.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0025,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_farauti_m_FAR1_image0022.jpg,anopheles_farauti_m_FAR1_image0022.jpg,anopheles,anopheles_farauti,farauti,male,FAR1,image0022,False,5,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0046.jpg,anopheles_arabiensis_f_DONGOLA_image0046.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0046,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_m_F1_image0019.jpg,anopheles_freeborni_m_F1_image0019.jpg,anopheles,anopheles_freeborni,freeborni,male,F1,image0019,False,6,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0107.jpg,anopheles_arabiensis_f_DONGOLA_image0107.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0107,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_m_STECLA_image0012.jpg,anopheles_albimanus_m_STECLA_image0012.jpg,anopheles,anopheles_albimanus,albimanus,male,STECLA,image0012,False,1,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0049.jpg,aedes_aegypti_f_NEWORLEANS_image0049.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0049,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0048.jpg,aedes_aegypti_f_NEWORLEANS_image0048.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0048,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0033.jpg,aedes_aegypti_f_NEWORLEANS_image0033.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0033,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_freeborni_m_F1_image0046.jpg,anopheles_freeborni_m_F1_image0046.jpg,anopheles,anopheles_freeborni,freeborni,male,F1,image0046,False,6,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0025.jpg,anopheles_arabiensis_m_DONGOLA_image0025.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0025,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0052.jpg,aedes_aegypti_m_NEWORLEANS_image0052.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0052,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_m_NEWORLEANS_image0064.jpg,aedes_aegypti_m_NEWORLEANS_image0064.jpg,aedes,aedes_aegypti,aegypti,male,NEWORLEANS,image0064,False,0,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_albimanus_f_STECLA_image0010.jpg,anopheles_albimanus_f_STECLA_image0010.jpg,anopheles,anopheles_albimanus,albimanus,female,STECLA,image0010,False,1,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0038.jpg,anopheles_arabiensis_m_DONGOLA_image0038.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0038,False,2,1,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0016.jpg,aedes_aegypti_f_NEWORLEANS_image0016.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0016,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_f_DONGOLA_image0029.jpg,anopheles_arabiensis_f_DONGOLA_image0029.jpg,anopheles,anopheles_arabiensis,arabiensis,female,DONGOLA,image0029,False,2,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_coluzzi_f_MOPTI_image0014.jpg,anopheles_coluzzi_f_MOPTI_image0014.jpg,anopheles,anopheles_coluzzi,coluzzi,female,MOPTI,image0014,False,4,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0122.jpg,aedes_aegypti_f_NEWORLEANS_image0122.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0122,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/aedes_aegypti_f_NEWORLEANS_image0004.jpg,aedes_aegypti_f_NEWORLEANS_image0004.jpg,aedes,aedes_aegypti,aegypti,female,NEWORLEANS,image0004,False,0,0,-1,train
doi_10_5061_dryad_z08kprr92__v20201113/anopheles_arabiensis_m_DONGOLA_image0053.jpg,anopheles_arabiensis_m_DONGOLA_image0053.jpg,anopheles,anopheles_arabiensis,arabiensis,male,DONGOLA,image0053,False,2,1,-1,train
